district,market,crop,date,arrival_qty_tonnes,modal_price_rs_per_quintal,source
Alappuzha,Alappuzha Mandi,rice,2021-01-01,61.9,2642,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-01,31.9,2703,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-01,30.0,2703,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-01,72.9,2685,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-01,29.3,2683,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-05,55.6,2662,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-05,34.7,2627,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-05,34.5,2716,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-05,69.7,2652,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-05,35.9,2673,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-07,64.6,2651,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-07,38.8,2704,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-07,40.3,2691,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-07,55.1,2662,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-07,30.1,2681,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-09,52.7,2701,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-09,42.0,2661,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-09,38.4,2685,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-09,50.6,2673,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-09,41.6,2696,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-11,59.8,2741,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-11,32.4,2724,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-11,47.5,2687,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-11,79.9,2676,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-11,30.6,2671,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-13,58.5,2633,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-13,44.8,2650,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-13,39.3,2667,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-13,54.2,2690,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-13,42.9,2708,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-15,75.0,2653,Agmarknet via CEDA
