district,crop,year,season,area_ha,production_tonnes,productivity_kg_ha,source
Alappuzha,rice,2002-03,punja,23700,73248,3090,"Kerala Agri Dept Compendium 2023, Table 5.1.1 & Table 4.5"
Alappuzha,rice,2002-03,virippu,3500,10815,3090,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2002-03,mundakan,2435,7498,3090,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2003-04,punja,25600,50278,1964,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2003-04,virippu,3800,7463,1964,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2003-04,mundakan,2683,5267,1964,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2004-05,punja,25700,62734,2441,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2004-05,virippu,3900,9520,2441,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2004-05,mundakan,2558,6237,2441,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2005-06,punja,23000,57362,2494,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2005-06,virippu,3200,7981,2494,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2005-06,mundakan,2568,6405,2494,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2006-07,punja,24800,71994,2903,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2006-07,virippu,3500,10161,2903,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2006-07,mundakan,2760,8005,2903,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2007-08,punja,26600,49689,1868,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2007-08,virippu,3800,7098,1868,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2007-08,mundakan,2935,5483,1868,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2008-09,punja,27300,83374,3054,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2008-09,virippu,4000,12216,3054,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2008-09,mundakan,2843,8690,3054,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2009-10,punja,26700,78231,2930,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2009-10,virippu,3900,11427,2930,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2009-10,mundakan,2840,8318,2930,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2010-11,punja,29600,72934,2464,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2010-11,virippu,4200,10349,2464,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2010-11,mundakan,3260,8042,2464,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2011-12,punja,29000,89581,3089,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2011-12,virippu,4100,12665,3089,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2011-12,mundakan,3151,9733,3089,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2012-13,punja,28900,83521,2890,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
