krishibhavan,season,procured_qty_tonnes,pending_qty_tonnes,source
Kainakary,Punja 2023-24,3850,420,Supplyco Paddy Procurement Portal
Kainakary,Punja 2022-23,3910,150,Supplyco Paddy Procurement Portal
Kainakary,Punja 2021-22,3740,90,Supplyco Paddy Procurement Portal
Champakulam,Punja 2023-24,4600,580,Supplyco Paddy Procurement Portal
Champakulam,Punja 2022-23,4450,210,Supplyco Paddy Procurement Portal
Nedumudi,Punja 2023-24,4120,390,Supplyco Paddy Procurement Portal
Nedumudi,Punja 2022-23,4200,110,Supplyco Paddy Procurement Portal
Pulincunnoo,Punja 2023-24,3300,450,Supplyco Paddy Procurement Portal
Pulincunnoo,Punja 2022-23,3480,180,Supplyco Paddy Procurement Portal
Thakazhy,Punja 2023-24,5200,620,Supplyco Paddy Procurement Portal
Thakazhy,Punja 2022-23,5050,240,Supplyco Paddy Procurement Portal
Ambalapuzha North,Punja 2023-24,2100,290,Supplyco Paddy Procurement Portal
Ambalapuzha South,Punja 2023-24,2450,310,Supplyco Paddy Procurement Portal
Kumarakom,Punja 2023-24,3900,480,Supplyco Paddy Procurement Portal
Kumarakom,Punja 2022-23,4050,190,Supplyco Paddy Procurement Portal
Vaikom,Punja 2023-24,2800,350,Supplyco Paddy Procurement Portal
Vaikom,Punja 2022-23,2920,130,Supplyco Paddy Procurement Portal
Changanassery,Punja 2023-24,3150,410,Supplyco Paddy Procurement Portal
Changanassery,Punja 2022-23,3300,160,Supplyco Paddy Procurement Portal
